label,change,absolute change
Violation of emergency laws,-0.6730279898218829,-529.0
Infiltration(3),5.041666666666667,121.0
Stone-throwing,-0.09310793237971393,-358.0
Petrol bomb-throwing,-0.28181818181818186,-93.0
Incitement,1.864864864864865,138.0
Other offences,0.1613485851896448,1340.0
Brawls and disturbing the peace,-0.03358925143953939,-70.0
Trespass,0.09247370577789926,677.0
Threats,0.041546806034388206,1892.0
Offences against judicial authority,-0.004402970362095027,-67.0
Forbidden games and gambling,-0.24774774774774777,-55.0
"Nuisance, noise and obstruction of public roads",0.42008196721311486,615.0
Offences relating to marriage,0.08201058201058209,31.0
Assault on or foiling of police officer,-0.022442712024568823,-190.0
Violations of law of entry to Israel,-0.0635518512582145,-793.0
Spread of sexually transmitted and other diseases,-1.0,-81.0
Other offences,0.12414013757798759,3104.0
Against a person's life,0.29046087888531624,271.0
Grievous bodily harm,0.022968505307116693,132.0
Assault,0.0013761574883959238,59.0
Criminal negligence,0.10488415779586724,335.0
"Kidnapping, coercion and false imprisonment",-0.06000000000000005,-33.0
Erection of barrier(5),-0.23423423423423428,-26.0
Other offences,-0.22077922077922074,-34.0
Rape,-0.12936046511627908,-178.0
Indecent assault,-0.0869905956112853,-333.0
Sexual harassment,0.09572301425661922,141.0
Other offences,-0.10909090909090913,-6.0
Offences relating to prostitution,-0.07692307692307687,-7.0
Use of illicit drugs(6),-0.5517884573184113,-5029.0
"Drug trafficking, imports and exports",-0.10644380910490436,-484.0
"Growth, manufacture and production of illicit drugs",-0.2706131078224101,-128.0
Possession of illicit drugs not for personal use,-0.052283770651117556,-269.0
Other offences,0.10299003322259126,31.0
Robbery,0.020408163265306145,19.0
Assault for theft,0.06896551724137923,14.0
Extortion,0.08512213175425609,115.0
"Breaking and entering (a home, business or institution)",-8.676036786392505e-05,-1.0
Unlawful use of a vehicle,0.3454941464742718,5076.0
Theft from a vehicle,0.07328058429701767,602.0
Bicycle theft,-0.04042974271981903,-143.0
Pickpocketing,0.1061093247588425,33.0
Purse-snatching,-0.1384615384615384,-9.0
Theft of car parts,0.15158825894652184,754.0
Agricultural theft,0.0494505494505495,9.0
Other thefts,0.039187634996774134,1397.0
Receiving or posssessing stolen property,-0.13738601823708207,-226.0
Arson,0.11610486891385774,279.0
Willful damage to property,0.005234401864516958,137.0
Other offences,0.11347846225104208,245.0
"Forgery (currency, stamps, documents)",0.08672566371681412,294.0
"Fraud, extortion",0.11491442542787289,987.0
Other offences,-0.22107322526551143,-791.0
Total economic offences,0.283179012345679,1101.0
Total licensing offences,0.10886469673405919,140.0
Total other offences,0.149514563106796,462.0
